,target,feature,weight
720,O,-1:word.lower():dalam,0.35535
721,O,-1:word.lower():16gb,0.355159
722,O,word[:3]:Thi,0.355091
723,O,-1:word.lower():beyond,0.354867
724,O,word.lower():magnificent,0.354395
725,O,word[-3:]:gal,0.354331
726,O,word[-3:]:sun,0.353795
727,O,word.lower():susun,0.353795
728,O,word[:3]:Cul,0.353628
729,O,word.lower():culture,0.353628
730,O,+1:word.lower():internal,0.353569
731,O,+1:word.lower():panas,0.353117
732,O,word[:3]:Sec,0.35303
733,O,+1:word.lower():bbq,0.352436
734,O,-1:word.lower():setiker,0.352326
735,O,+1:word.lower():pg-810,0.352223
